Date,Close/Last,Volume,Open,High,Low
12/2/2019,$309.99 ,6223135,$314.39 ,$314.39 ,$303.75 
11/29/2019,$314.66 ,2411749,$315.78 ,$316.62 ,$313.34 
11/27/2019,$315.93 ,4100975,$313.93 ,$316.82 ,$312.75 
11/26/2019,$312.49 ,5328348,$315 ,$316.50 ,$311.69 
11/25/2019,$315.55 ,7878943,$308.83 ,$315.73 ,$305.25 
11/22/2019,$310.48 ,5970056,$309.10 ,$311.40 ,$304.41 
11/21/2019,$311.69 ,7488373,$306 ,$312.69 ,$304.26 
11/20/2019,$305.16 ,5115546,$301.01 ,$308.25 ,$301 
11/19/2019,$302.60 ,5919710,$304.01 ,$305.67 ,$298.52 
11/18/2019,$302.57 ,8621566,$296 ,$304.99 ,$293.28 
11/15/2019,$295.03 ,6337779,$290.59 ,$295.82 ,$287.57 
11/14/2019,$289.62 ,6539771,$283.25 ,$290.63 ,$283.22 
11/13/2019,$283.11 ,9233066,$291.03 ,$293.41 ,$281.14 
11/12/2019,$292.01 ,5774833,$295.32 ,$295.35 ,$288.70 
11/11/2019,$294.18 ,3945885,$289.16 ,$296.36 ,$288.50 
11/8/2019,$291.57 ,4509588,$288.73 ,$293.99 ,$287.51 
11/7/2019,$289.57 ,5928471,$290.70 ,$298.19 ,$288.27 
11/6/2019,$288.59 ,3438257,$288.19 ,$290.56 ,$285.84 
11/5/2019,$288.03 ,4062370,$289.99 ,$291.19 ,$286.31 
11/4/2019,$292.86 ,5566213,$288 ,$295.39 ,$287.16 
11/1/2019,$286.81 ,5594293,$288.70 ,$289.12 ,$283.02 
10/31/2019,$287.41 ,5090021,$291 ,$291.45 ,$284.78 
10/30/2019,$291.45 ,9345562,$284.34 ,$293.49 ,$283 
10/29/2019,$281.21 ,4356181,$281.87 ,$284.41 ,$277.55 
10/28/2019,$281.86 ,6248433,$278.05 ,$285.75 ,$277.35 
10/25/2019,$276.82 ,4747829,$270.68 ,$277.77 ,$270.18 
10/24/2019,$271.50 ,4911033,$271.81 ,$274.02 ,$268.80 
10/23/2019,$271.27 ,7154430,$268.06 ,$273.92 ,$266.63 
10/22/2019,$266.69 ,11865590,$271.16 ,$275.41 ,$265.80 
10/21/2019,$278.05 ,12633960,$272.89 ,$279.94 ,$269 
10/18/2019,$275.30 ,23449640,$289.36 ,$290.90 ,$273.36 
10/17/2019,$293.35 ,38462340,$304.49 ,$308.75 ,$288.30 
10/16/2019,$286.28 ,18413340,$283.12 ,$288.17 ,$280.74 
10/15/2019,$284.25 ,7728161,$283.82 ,$285.87 ,$279.40 
10/14/2019,$285.53 ,5543120,$283.93 ,$286.93 ,$282 
10/11/2019,$282.93 ,8817301,$284.80 ,$287.87 ,$275.89 
10/10/2019,$280.48 ,10961190,$265.97 ,$280.53 ,$265.03 
10/9/2019,$267.53 ,6843488,$270.02 ,$271 ,$264.57 
10/8/2019,$270.72 ,6302269,$273.03 ,$275.53 ,$270.64 
10/7/2019,$274.46 ,6796811,$271.99 ,$276.68 ,$271.28 
10/4/2019,$272.79 ,9992774,$268.20 ,$275.48 ,$266.47 
10/3/2019,$268.15 ,9068810,$267.78 ,$268.84 ,$257.01 
10/2/2019,$268.03 ,7773299,$263.61 ,$269.35 ,$262.19 
10/1/2019,$269.58 ,8786284,$267.35 ,$272.20 ,$264.03 
9/30/2019,$267.62 ,6823100,$264 ,$268.88 ,$262.78 
9/27/2019,$263.08 ,7367491,$266.18 ,$267.44 ,$260.39 
9/26/2019,$263.31 ,7696858,$266.42 ,$268.05 ,$260.20 
9/25/2019,$264.75 ,11846750,$255.71 ,$266.60 ,$253.70 
9/24/2019,$254.59 ,16392810,$262.50 ,$265 ,$252.28 
9/23/2019,$265.92 ,13610290,$268.35 ,$273.39 ,$261.89 
9/20/2019,$270.75 ,23954190,$280.26 ,$282.50 ,$266 
9/19/2019,$286.60 ,8545761,$291.56 ,$293.81 ,$283.40 
9/18/2019,$291.56 ,7841539,$294.99 ,$296.05 ,$287.45 
9/17/2019,$298.60 ,4817119,$294.50 ,$299.15 ,$291.79 
9/16/2019,$294.29 ,5307386,$294.23 ,$297.43 ,$289.78 
9/13/2019,$294.15 ,6583124,$290.61 ,$296.62 ,$290.04 
9/12/2019,$288.86 ,5010927,$288.10 ,$292.73 ,$286.60 
9/11/2019,$288.27 ,7405949,$285.70 ,$292.65 ,$284.61 
9/10/2019,$287.99 ,12320250,$291.16 ,$297.17 ,$282.66 
